Year,Rep,PI,bm_per_plant
2013,1,PI 233279,1.492
2013,2,PI 233279,3.432
2013,3,PI 233279,5.06
2013,4,PI 233279,0.807
2013,1,PI 233812,1.1
2013,2,PI 233812,3.733
2013,3,PI 233812,2.033
2013,4,PI 233812,3.075
2013,1,PI 251562,5.727
2013,2,PI 251562,2.436
2013,3,PI 251562,5.188
2013,4,PI 251562,4.911
2013,1,PI 251563,3.195
2013,2,PI 251563,6.133
2013,3,PI 251563,2.7
2013,4,PI 251563,6.075
2013,1,PI 338674,2.648
2013,2,PI 338674,4.5
2013,3,PI 338674,4.436
2013,4,PI 338674,8.15
2013,1,PI 369045,2.441
2013,2,PI 369045,4.445
2013,3,PI 369045,2.342
2013,4,PI 369045,2.034
2013,1,PI 378130,3.56
2013,2,PI 378130,1.662
2013,3,PI 378130,4.633
2013,4,PI 378130,3.424
2013,1,PI 418900,5.133
2013,2,PI 418900,3.28
2013,4,PI 418900,2.644
2013,1,PI 418901,3.584
2013,2,PI 418901,2.415
2013,3,PI 418901,3.262
2013,4,PI 418901,3.735
2013,1,PI 422487,2.575
2013,2,PI 422487,7.076
2013,3,PI 422487,4.944
2013,4,PI 422487,3.1
2013,1,PI 442556,4.88
2013,2,PI 442556,4.227
2013,3,PI 442556,4.1
2013,4,PI 442556,6.556
2013,1,PI 499564,5.029
2013,2,PI 499564,4.283
2013,3,PI 499564,4.989
2013,4,PI 499564,3.528
2013,1,PI 527691,5.26
2013,2,PI 527691,3.627
2013,3,PI 527691,3.587
2013,4,PI 527691,5.104
2013,1,PI 556990,3.444
2013,2,PI 556990,4.86
2013,3,PI 556990,4.919
2013,4,PI 556990,3.256
2013,1,PI 561569,2.3
2013,2,PI 561569,2.14
2013,3,PI 561569,4.229
2013,4,PI 561569,7.808
2013,1,PI 561942,3.378
2013,2,PI 561942,2.983
2013,3,PI 561942,1.707
2013,4,PI 561942,3.518
2013,1,PI 561943,4.309
2013,2,PI 561943,3.28
2013,3,PI 561943,3.328
2013,4,PI 561943,2.143
2013,1,PI 561944,2.1
2013,2,PI 561944,2.43
2013,3,PI 561944,4.3
2013,4,PI 561944,0.921
2013,1,PI 603034,2.448
2013,2,PI 603034,2.733
2013,3,PI 603034,4.137
2013,4,PI 603034,0.857
2013,1,PI 613042,6.178
2013,2,PI 613042,4.397
2013,3,PI 613042,3.05
2013,4,PI 613042,1.77
2013,1,PI 613043,4.491
2013,2,PI 613043,3.313
2013,3,PI 613043,3.837
2013,4,PI 613043,2.794
2013,1,PI 613044,3.766
2013,2,PI 613044,4.033
2013,3,PI 613044,3.386
2013,4,PI 613044,5.648
2013,1,PI 613045,4.65
2013,2,PI 613045,4.633
2013,3,PI 613045,6.275
2013,4,PI 613045,3.13
2013,1,PI 613046,5.612
2013,2,PI 613046,3.983
2013,3,PI 613046,3.46
