Year,Rep,PI,pctN,pctfromBNF
2015,4,PI 418901,1.874,67.938
2015,1,PI 378130,2.63,71.877
2015,1,PI 561944,1.972,73.285
2015,1,PI 251562,1.983,75.326
2015,4,PI 527691,1.689,75.982
2015,1,PI 233812,2.183,76.572
2015,1,PI 613049,1.913,77.837
2015,2,PI 233279,2.055,78.123
2015,4,PI 613048,1.907,78.151
2015,4,PI 556990,1.89,78.171
2015,1,PI 369045,1.99,78.225
2015,1,PI 251563,2.069,79.062
2015,1,PI 418900,1.985,79.123
2015,4,PI 613042,1.811,79.336
2015,2,PI 233812,1.793,79.98
2015,2,PI 499564,2.687,80.837
2015,3,PI 613046,1.85,81.082
2015,2,PI 613043,1.585,81.368
2015,1,PI 613045,1.71,81.409
2015,1,PI 556990,1.844,81.491
2015,2,PI 378130,2.371,81.715
2015,4,PI 499564,2.078,81.736
2015,2,PI 603034,2.141,81.756
2015,4,PI 418900,1.688,81.765
2015,4,PI 613046,2.096,81.805
2015,2,PI 556990,1.847,82.001
2015,1,PI 561942,1.879,82.021
2015,2,PI 527691,2.021,82.307
2015,2,PI 613049,2.263,82.327
2015,1,PI 442556,1.956,82.368
2015,1,PI 613047,1.797,82.552
2015,3,PI 418901,1.672,82.572
2015,3,PI 613042,1.808,82.593
2015,3,PI 378130,2.447,82.634
2015,4,PI 233279,2.055,82.649
2015,3,PI 251563,1.969,82.879
2015,1,PI 663850,2.267,83.144
2015,3,PI 556990,1.656,83.266
2015,2,PI 422487,1.989,83.328
2015,2,PI 613045,1.971,83.45
2015,2,PI 561942,1.821,83.471
2015,4,PI 442556,2.238,83.693
2015,3,PI 613047,1.844,83.715
2015,4,PI 613047,1.651,83.733
2015,4,PI 603034,1.896,83.753
2015,1,PI 338674,2.638,83.92
2015,2,PI 442556,1.792,84.083
2015,1,PI 561943,1.807,84.144
2015,3,PI 418900,2.321,84.205
2015,4,PI 378130,2.165,84.215
2015,4,PI 613049,2.034,84.267
2015,1,PI 613042,1.653,84.389
2015,4,PI 561942,1.652,84.416
2015,4,PI 233812,2.103,84.532
2015,2,PI 418900,2.229,84.634
2015,3,PI 655007,2.052,84.634
2015,3,PI 561943,2.023,84.858
2015,3,PI 561942,1.869,84.981
2015,1,PI 499564,1.924,85.063
2015,3,PI 527691,1.547,85.063
2015,2,PI 655006,1.872,85.103
2015,4,PI 561943,1.811,85.138
2015,1,PI 418901,1.868,85.328
2015,3,PI 338674,2.164,85.43
2015,2,PI 251562,2.059,85.45
2015,2,PI 613047,1.695,85.45
2015,4,PI 613043,1.753,85.58
2015,1,PI 613046,1.699,85.593
2015,3,PI 233279,1.801,85.593
2015,3,PI 233812,2.048,85.655
2015,2,PI 613042,1.828,85.757
2015,1,PI 561569,1.902,85.777
2015,3,PI 663850,1.881,85.777
2015,2,PI 613046,1.809,85.818
2015,3,PI 603034,1.596,85.838
2015,1,PI 527691,1.815,85.92
2015,2,PI 369045,1.681,85.981
2015,4,PI 338674,2.188,86.083
2015,3,PI 613045,1.947,86.328
2015,4,PI 251563,2.09,86.369
2015,2,PI 655007,1.845,86.553
2015,1,PI 655006,1.702,86.573
2015,3,PI 442556,1.892,86.593
2015,4,PI 369045,1.881,86.593
2015,3,PI 251562,1.89,86.818
2015,4,PI 655007,2.075,86.9
