Year,Rep,PI,survival,emergence
2013,1,PI 233279,0.862,0.644
2013,2,PI 233279,0.864,0.489
2013,3,PI 233279,1,0.533
2013,4,PI 233279,0.938,0.356
2013,1,PI 233812,1,0
2013,2,PI 233812,1,0.089
2013,3,PI 233812,0.706,0.378
2013,4,PI 233812,1,0.089
2013,1,PI 251562,1,0.244
2013,2,PI 251562,1,0.244
2013,3,PI 251562,1,0.378
2013,4,PI 251562,0.9,0.222
2013,1,PI 251563,0.778,0.6
2013,2,PI 251563,0.75,0.267
2013,3,PI 251563,0.909,0.489
2013,4,PI 251563,1,0.378
2013,1,PI 338674,1,0.511
2013,2,PI 338674,0.625,0.178
2013,3,PI 338674,0.933,0.333
2013,4,PI 338674,0.909,0.244
2013,1,PI 369045,1,0.667
2013,2,PI 369045,1,0.644
2013,3,PI 369045,0.857,0.622
2013,4,PI 369045,1,0.711
2013,1,PI 378130,0.714,0.311
2013,2,PI 378130,1,0.444
2013,3,PI 378130,0.818,0.244
2013,4,PI 378130,1,0.467
2013,1,PI 418900,1,0.133
2013,2,PI 418900,0.417,0.267
2013,3,PI 418900,0,0.111
2013,4,PI 418900,0.9,0.222
2013,1,PI 418901,1,0.467
2013,2,PI 418901,1,0.356
2013,3,PI 418901,1,0.4
2013,4,PI 418901,1,0.2
2013,1,PI 422487,0.571,0.622
2013,2,PI 422487,1,0.356
2013,3,PI 422487,0.941,0.378
2013,4,PI 422487,0.773,0.489
2013,1,PI 442556,1,0.289
2013,2,PI 442556,1,0.489
2013,3,PI 442556,1,0.356
2013,4,PI 442556,1,0.2
2013,1,PI 499564,1,0.111
2013,2,PI 499564,0.947,0.422
2013,3,PI 499564,1,0.289
2013,4,PI 499564,1,0.356
2013,1,PI 527691,1,0.533
2013,2,PI 527691,0.846,0.578
2013,3,PI 527691,1,0.511
2013,4,PI 527691,1,0.489
2013,1,PI 556990,1,0.689
2013,2,PI 556990,0.882,0.756
2013,3,PI 556990,0.923,0.867
2013,4,PI 556990,1,0.644
