PI,Year,Rep,gddto25
PI 561942,2013,1,1480.5
PI 561942,2013,2,1480.5
PI 561942,2013,4,1480.5
PI 561942,2015,2,1429.7
PI 561942,2015,4,1429.7
PI 561943,2013,1,1480.5
PI 561943,2013,2,1480.5
PI 561943,2013,3,1480.5
PI 561943,2013,4,1480.5
PI 561943,2015,1,1429.7
PI 561943,2015,2,1429.7
PI 561944,2013,3,1480.5
PI 561944,2014,3,1432.6
PI 561944,2015,1,1429.7
PI 561944,2015,2,1429.7
PI 561944,2015,3,1429.7
PI 561944,2015,4,1429.7
PI 233279,2013,1,1588.4
PI 233279,2013,2,1615.4
PI 233279,2013,3,1600.4
PI 233279,2013,4,1660.3
PI 233279,2014,1,1613
PI 233279,2014,2,1588.6
PI 233279,2014,3,1670.3
PI 233279,2015,2,1583.3
PI 233279,2015,3,1593.7
PI 233279,2015,4,1593.7
PI 233812,2013,1,1570.4
PI 233812,2013,2,1480.5
PI 233812,2013,3,1542.2
PI 233812,2013,4,1578.6
PI 233812,2015,1,1529.8
PI 233812,2015,2,1529.8
PI 233812,2015,3,1527.4
PI 233812,2015,4,1515.6
PI 251562,2013,1,1534.5
PI 251562,2013,2,1546.9
PI 251562,2013,3,1542.2
PI 251562,2013,4,1566.8
PI 251562,2014,1,1588.6
PI 251562,2014,3,1594.7
PI 251562,2015,1,1480.3
PI 251562,2015,2,1521.5
PI 251562,2015,3,1562.8
PI 251562,2015,4,1500.9
PI 251563,2013,1,1615.4
PI 251563,2013,2,1634.6
PI 251563,2013,3,1600.4
PI 251563,2013,4,1600.4
PI 251563,2014,1,1613
PI 251563,2014,2,1599.4
PI 251563,2014,3,1613
PI 251563,2014,4,1686.4
PI 251563,2015,1,1604
PI 251563,2015,2,1578.2
PI 251563,2015,3,1578.2
PI 251563,2015,4,1562.8
PI 338674,2013,1,1566.8
PI 338674,2013,2,1600.4
PI 338674,2013,3,1588.4
PI 338674,2013,4,1600.4
PI 338674,2015,1,1562.8
PI 338674,2015,2,1562.8
PI 338674,2015,3,1521.5
PI 338674,2015,4,1480.3
PI 369045,2013,1,1588.4
PI 369045,2013,2,1576.4
PI 369045,2013,3,1588.4
PI 369045,2013,4,1588.4
PI 369045,2014,1,1600.4
PI 369045,2014,2,1548.8
PI 369045,2014,3,1600.4
PI 369045,2014,4,1594.7
PI 369045,2015,1,1565.7
PI 369045,2015,2,1562.8
PI 369045,2015,3,1548
PI 369045,2015,4,1548
PI 378130,2013,1,1660.3
PI 378130,2013,2,1588.4
PI 378130,2013,3,1615.4
PI 378130,2013,4,1566.8
PI 378130,2015,1,1583.4
PI 378130,2015,2,1583.4
PI 378130,2015,3,1604
PI 378130,2015,4,1593.7
PI 418900,2013,1,1696.3
PI 418900,2013,2,1700.6
PI 418900,2013,4,1615.4
PI 418900,2014,3,1784.6
PI 418900,2015,1,1624.6
PI 418900,2015,2,1624.6
PI 418900,2015,3,1624.6
PI 418900,2015,4,1562.8
PI 418901,2013,1,1976.1
PI 418901,2013,2,1922.7
PI 418901,2013,3,1932.6
PI 418901,2013,4,2033.1
PI 418901,2014,1,1698.9
PI 418901,2015,1,1853.3
PI 418901,2015,2,1871
PI 418901,2015,3,1876.9
PI 418901,2015,4,1876.9
PI 422487,2013,1,1588.4
PI 422487,2013,2,1576.4
PI 422487,2013,3,1588.4
PI 422487,2013,4,1578.6
PI 422487,2014,1,1610
PI 422487,2014,3,1588.6
PI 422487,2014,4,1588.6
PI 422487,2015,2,1562.8
PI 422487,2015,3,1537.8
PI 422487,2015,4,1562.8
PI 442556,2013,1,1545.2
PI 442556,2013,2,1576.4
PI 442556,2013,3,1615.4
PI 442556,2013,4,1578.6
PI 442556,2014,2,1505.2
PI 442556,2015,1,1562.8
PI 442556,2015,2,1562.8
PI 442556,2015,3,1562.8
PI 442556,2015,4,1624.6
PI 499564,2013,1,1588.4
PI 499564,2013,2,1557.6
PI 499564,2013,3,1600.4
PI 499564,2013,4,1588.4
PI 499564,2014,2,1588.6
PI 499564,2014,3,1588.6
PI 499564,2014,4,1572.3
PI 499564,2015,1,1562.8
PI 499564,2015,2,1544.8
PI 499564,2015,3,1548
PI 499564,2015,4,1548
PI 527691,2013,1,1566.8
PI 527691,2013,2,1588.4
PI 527691,2013,3,1566.8
PI 527691,2013,4,1546.9
PI 527691,2014,1,1548.8
PI 527691,2014,2,1548.8
PI 527691,2014,3,1548.8
PI 527691,2014,4,1564.1
PI 527691,2015,1,1541.2
PI 527691,2015,2,1515.6
PI 527691,2015,3,1529.8
PI 527691,2015,4,1541.2
PI 556990,2013,1,1603.8
PI 556990,2013,2,1542.2
PI 556990,2013,3,1539.4
PI 556990,2013,4,1546.9
PI 556990,2014,1,1548.8
PI 556990,2014,2,1529.5
PI 556990,2014,3,1610
PI 556990,2014,4,1548.8
PI 556990,2015,1,1516.6
PI 556990,2015,2,1521.5
PI 556990,2015,3,1526.8
PI 556990,2015,4,1541.2
PI 561569,2013,1,1570.4
PI 561569,2013,2,1588.4
PI 561569,2013,3,1566.8
PI 561569,2013,4,1480.5
PI 561569,2014,1,1588.6
PI 561569,2014,2,1548.8
PI 561569,2014,4,1566
PI 561569,2015,1,1529.8
PI 561569,2015,2,1535.3
PI 561569,2015,3,1521.5
PI 561569,2015,4,1516.6
PI 561942,2013,3,1566.8
PI 561942,2014,1,1432.6
PI 561942,2014,2,1476.2
PI 561942,2014,3,1548.8
PI 561942,2014,4,1476.2
PI 561942,2015,3,1429.7
PI 561943,2014,1,1432.6
PI 561943,2014,2,1476.2
PI 561943,2014,3,1579.7
PI 561943,2015,3,1429.7
PI 561943,2015,4,1429.7
PI 561944,2013,1,1546.9
PI 561944,2013,2,1552.4
PI 561944,2013,4,1545.2
PI 561944,2014,1,1476.2
PI 561944,2014,2,1432.6
PI 561944,2014,4,1432.6
PI 603034,2013,1,1696.3
PI 603034,2013,2,1696.3
PI 603034,2013,3,1600.4
PI 603034,2013,4,1660.3
PI 603034,2014,1,1588.6
PI 603034,2014,2,1548.8
PI 603034,2014,3,1613
PI 603034,2014,4,1588.6
PI 603034,2015,1,1598.1
PI 603034,2015,2,1612.2
PI 603034,2015,3,1604
PI 603034,2015,4,1609.1
PI 613042,2013,1,1578.6
PI 613042,2013,2,1559
PI 613042,2013,3,1559
PI 613042,2013,4,1588.4
PI 613042,2014,1,1548.8
PI 613042,2014,3,1610
PI 613042,2014,4,1590.1
PI 613042,2015,1,1529.8
PI 613042,2015,2,1562.8
